keyword,2015,2016,2017,2018,2019,category
agate,0,3,2,0,0,python
ai2html,0,0,1,0,1,web
ajax,1,1,0,0,0,web
altair,0,0,0,0,1,python
angular,0,0,0,1,0,javascript
arcgis,2,2,1,1,2,geo
arduino,1,1,0,0,0,other
asp,1,1,0,0,0,web
bayesdb,0,0,0,1,0,stats
blockchain,0,0,0,0,1,other
bootstrap,1,0,0,0,0,web
bot,1,4,3,2,1,bot
bower,1,1,3,1,0,web
carto,1,0,1,1,0,geo
cartodb,2,1,1,0,0,geo
chartbuilder,0,0,1,0,0,dataviz
cometdocs,0,0,0,0,1,docs
cs,8,4,2,1,3,web
csvkit,1,4,3,2,1,docs
cypher,0,1,1,1,1,graph
d3,3,3,6,6,7,javascript
datakit,0,0,0,1,0,datamgmt
datasette,0,0,0,0,1,datamgmt
datawrapper,0,0,1,0,1,dataviz
dexter,0,0,0,1,0,bot
django,4,4,3,1,1,python
documentcloud,2,2,0,2,1,docs
dplyr,1,0,0,3,2,r
dygraphs,1,0,0,0,0,r
excel,24,25,16,27,30,datamgmt
fabric,1,1,1,1,0,python
flask,0,1,0,0,0,python
flourish,0,0,1,0,1,dataviz
fusion,3,2,2,1,0,datamgmt
geomancer,1,0,0,0,0,geo
geopandas,0,0,0,0,1,python
gephi,1,1,0,0,0,graph
ggplot2,0,0,0,3,4,r
git,6,4,4,1,0,other
github,8,6,5,3,5,other
grel,0,0,0,0,1,datamgmt
grunt,1,1,2,1,0,javascript
gspan,0,0,0,0,1,javascript
html,10,6,4,6,7,web
htmlwidgets,0,0,1,0,0,r
ipython,2,3,0,0,0,python
javascript,14,9,9,10,16,javascript
jekyll,1,0,0,0,0,web
jquery,2,1,0,1,0,javascript
jupyter,0,4,4,3,3,python
leaflet,2,1,1,1,1,javascript
mapbox,2,0,1,2,1,geo
markdown,2,1,1,0,0,web
matplotlib,0,2,2,2,3,python
mysql,5,4,4,5,4,sql
neo4j,0,1,1,1,1,graph
node,2,5,2,2,1,javascript
npm,1,3,1,1,0,javascript
numpy,0,2,1,0,0,python
ocr,0,1,5,1,1,text
odyssey,1,0,0,0,0,javascript
openrefine,3,3,1,1,2,datamgmt
panda,5,4,6,6,7,python
pdb,0,1,0,0,0,python
pdfplumber,0,0,0,0,1,python
pgadmin,1,0,0,0,1,sql
php,0,0,1,1,0,web
pip,0,0,1,0,0,python
pivot,0,2,2,4,7,datamgmt
plotly,1,0,0,0,0,dataviz
postgis,2,1,1,2,2,sql
postgres,1,0,0,0,0,sql
postgresql,2,1,3,2,1,sql
pspp,0,6,2,4,3,stats
psql,0,0,0,0,1,sql
purr,0,0,0,1,1,r
pyenv,0,0,0,1,0,python
python,21,24,17,16,20,python
qgis,5,4,3,3,4,geo
quantumgis,1,1,1,1,0,geo
r,12,10,13,16,22,r
rail,3,2,1,1,0,ruby
rake,1,1,0,0,0,ruby
rbenv,1,1,1,1,0,ruby
react,0,0,0,1,2,javascript
readr,0,0,0,1,1,r
regex,2,2,0,0,1,other
rivescript,0,0,0,1,0,bot
rmarkdown,0,0,0,1,1,r
rstudio,2,0,1,2,4,r
rtweet,0,0,0,1,0,r
ruby,6,8,2,2,1,ruby
scikit,1,0,0,0,0,python
seaborn,0,0,2,0,0,python
socrata2sql,0,0,0,0,1,python
spatialite,1,0,0,0,0,sql
spss,4,6,2,4,3,stats
sql,15,16,15,13,23,sql
sqlite,3,8,3,6,8,sql
svelte,0,0,0,1,0,javascript
tableau,8,6,6,4,6,dataviz
tabula,2,1,1,1,1,text
tesseract,0,0,2,0,0,text
tibble,0,0,0,1,1,r
tidyr,0,0,0,1,1,r
tidytext,0,0,0,0,1,r
tidyverse,0,0,1,5,6,r
tilemill,1,0,0,0,0,geo
topojson,0,0,0,1,1,javascript
twine,1,0,0,0,0,other
unittest,0,1,0,0,0,python
virtualbox,1,1,1,1,0,other
virtualenv,1,1,1,1,0,python
virtualenvwrapper,1,1,1,1,0,python
visidata,0,0,0,1,1,datamgmt
vue,0,0,0,1,0,javascript
webgl,0,0,1,0,0,javascript
